pdp_url,product_name,regular_price,price_was,percentage_discount,product_description,breadcrumb,rating,review,image,alchole_percentage,ingredient,allergens,alchol_by_volume,instock,nutritions
https://www.gall.nl/valdivieso-chardonnay-wit-75cl-387614.html,Valdivieso Chardonnay,6.65,,,"Deze Chileense chardonnay van de Nieuw-Zeelandse wijnmaker Brett David Jackson is jaar na jaar van constante kwaliteit. Hij is toegankelijk, romig en rond met tropisch fruit.",Home > Wijn > Witte wijn > Volle witte wijn,4.5,199,https://static.gall.nl/images/IMG_680289_500.png,12%,Bevat sulfiet,Sulfur Dioxide and Sulfits,75CL,True,
https://www.gall.nl/orangerie-de-luc-rose-rose-75cl-194107.html,Orangerie de Luc Rosé,7.99,,,"Biologische rosé afkomstig uit Corbières, een appellatie aan de Middellandse Zee. Hier worden gevarieerde wijnen gemaakt waarin je altijd de zon proeft. In dit geval van merlot en cabernet sauvignon.",Home > Wijn > Rosé wijn,4.5,199,https://static.gall.nl/images/IMG_308702_500.png,"12,5%",Bevat sulfiet,Sulfur Dioxide and Sulfits,75CL,True,
https://www.gall.nl/vi%C3%B1a-salceda-rueda-verdejo-wit-75cl-131814.html,Viña Salceda Rueda Verdejo,8.99,,,"In Rueda worden de druiven ’s nachts geoogst. Het resultaat is knallend fris wit met tropisch fruit zoals mango, ananas en papaya. ",Home > Wijn > Witte wijn,4.4,199,https://static.gall.nl/images/IMG_308244_500.png,13%,Bevat sulfiet,Sulfur Dioxide and Sulfits,75CL,True,
https://www.gall.nl/vi%C3%B1a-mayor-rueda-verdejo-wit-75cl-308811.html,Viña Mayor Rueda Verdejo,8.99,,,"Het geheim van de wijnmakers uit Rueda is wijnbouw op hoogte en de druiven ’s nachts oogsten. Dit zorgt voor frisheid in de wijnen, naast de geur van tropisch fruit dat haast je glas uit knalt.",Home > Wijn > Witte wijn > Fruitige witte wijn,4.5,200,https://static.gall.nl/images/IMG_308724_500.png,13%,Bevat sulfiet,Sulfur Dioxide and Sulfits,75CL,False,
https://www.gall.nl/domaine-de-lamaurigue-rose-rose-75cl-196371.html,Domaine de l'Amaurigue Rosé,11.99,11.49,13%,Rosé de Provence met een Nederlands tintje. Het domein is in handen van de familie De Groot. Voor de zekerheid hebben ze wel een zeer getalenteerde Franse wijnmaker in dienst genomen: Jean-Marie Quef.,Home > Wijn > Rosé wijn,4.5,133,https://static.gall.nl/images/IMG_2163770_500.png,"12,5%",Bevat sulfiet,Sulfur Dioxide and Sulfits,75CL,True,
https://www.gall.nl/la-palma-reserva-chardonnay-wit-75cl-387843.html,La Palma Reserva Chardonnay,6.65,,,De term Reserva heeft betrekking op de gedeeltelijke houtrijping die de wijn krijgt. 35% van de wijn rijpt namelijk 4 tot 6 maanden op Franse eikenhouten vaten. Hierdoor krijgt de wijn een hint van vanille en veel lengte.,Home > Wijn > Witte wijn > Volle witte wijn,4.4,199,https://static.gall.nl/images/IMG_2278264_500.png,13%,Bevat sulfiet,Sulfur Dioxide and Sulfits,75CL,True,
https://www.gall.nl/oveja-negra-reserva-chardonnay-viognier-wit-75cl-389331.html,Oveja Negra Reserva Chardonnay Viognier,5.99,,,De wijnmakers van Oveja Negra zien zichzelf graag als de ‘zwarte schapen’ van de Chileense wijnwereld. Deze blend van chardonnay en viognier is vol en rijk met tropisch fruit.,Home > Wijn > Witte wijn > Volle witte wijn,4.5,199,https://static.gall.nl/images/IMG_1760201_500.png,13%,Bevat sulfiet,Sulfur Dioxide and Sulfits,75CL,True,
https://www.gall.nl/riporta-primitivo-rood-75cl-147877.html,Riporta Primitivo,7.99,,,"De Italiaanse druif primitivo is de held van het zuiden. Hij staat voornamelijk aangeplant in Puglia, de hak van de laars. Hij levert krachtige wijnen op.",Home > Wijn > Rode wijn,4.5,199,https://static.gall.nl/images/IMG_681587_500.png,14%,Bevat sulfiet,Sulfur Dioxide and Sulfits,75CL,True,
https://www.gall.nl/domaine-lamourie-rose-rose-75cl-409995.html,Domaine Lamourié Rosé,7.99,,,"Heerlijke Zuid-Franse rosé gemaakt van de stoere druif cabernet sauvignon. Daardoor heeft hij kracht en structuur, naast de zomerse frisheid van aardbeien en framboos. Ideale barbecuerosé.",Home > Wijn > Rosé wijn,4.5,200,https://static.gall.nl/images/IMG_1760385_500.png,"12,5%",Bevat sulfiet,Sulfur Dioxide and Sulfits,75CL,True,
https://www.gall.nl/yealands-reserve-sauvignon-blanc-wit-75cl-382795.html,Yealands Reserve Sauvignon Blanc,12.65,,,"Makkelijk herkenbare Nieuw-Zeelandse sauvignon blanc. Explosief van smaak met passiefruit, citrus, Granny Smith en groene kruiden. Dankzij zijn knallende aroma’s de ideale begeleider van Aziatische gerechten met vis, bijvoorbeeld sushi, Thaise crab cakes en Vietnamese spring rolls met garnalen. ",Home > Wijn > Witte wijn,4.8,100,https://static.gall.nl/images/IMG_1214168_500.png,"12,5%",Bevat sulfiet,Sulfur Dioxide and Sulfits,75CL,True,
https://www.gall.nl/clearwater-cove-sauvignon-blanc-wit-75cl-389773.html,Clearwater Cove Sauvignon Blanc,11.29,,,"Gemaakt door het 100% klimaatneutrale Peter Yealands. Een knisperfrisse wijn uit Marlborough, Nieuw-Zeeland met tonen van passievrucht, grapefruit en verse groene kruiden. Perfecte borrelwijn en ook lekker bij carpaccio.",Home > Wijn > Witte wijn > Frisse witte wijn,4.7,199,https://static.gall.nl/images/IMG_681971_500.png,"12,5%",Bevat sulfiet,Sulfur Dioxide and Sulfits,75CL,True,
https://www.gall.nl/cune-rueda-verdejo-wit-75cl-106313.html,Cune Rueda Verdejo,8.59,,,"Het Spaanse Cune komt oorspronkelijk uit Rioja. Daarnaast heeft het bedrijf ook wijngaarden in Rueda, waar deze frisse verdejo vandaan komt. Met tropisch fruit, citroen, groene kruiden en venkel.",Home > Wijn > Witte wijn > Fruitige witte wijn,4.3,135,https://static.gall.nl/images/IMG_682181_500.png,13%,Bevat sulfiet,Sulfur Dioxide and Sulfits,75CL,True,
https://www.gall.nl/chapelle-du-bois-merlot-rood-75cl-196533.html,Chapelle du Bois Merlot,5.99,,,Een van de oudste wijnen uit het assortiment van Gall & Gall. Soepel rood uit de Languedoc met veel trouwe fans vanwege de prijs-kwaliteitverhouding. Sappig en toegankelijk met pruimen en kersen.,Home > Wijn > Rode wijn > Fruitige rode wijn,4.5,140,https://static.gall.nl/images/IMG_681124_500.png,"13,5%",Bevat sulfiet,Sulfur Dioxide and Sulfits,75CL,True,
https://www.gall.nl/inycon-estate-pinot-grigio-wit-75cl-104353.html,Inycon Estate Pinot Grigio,7.99,,,De Inycon wijnen worden gemaakt door de grootste coöperatie van Sicilië. Voor de wijnen van de Estate Selection komen de druiven van eigen wijngaarden.,Home > Wijn > Witte wijn > Fruitige witte wijn,4.3,200,https://static.gall.nl/images/IMG_308134_500.png,12%,Bevat sulfiet,Sulfur Dioxide and Sulfits,75CL,True,
https://www.gall.nl/valdivieso-merlot-rood-75cl-387622.html,Valdivieso Merlot,6.65,,,Bij Valdivieso zorgt de Nieuw-Zeelandse wijnmaker Brett David Jackson er altijd voor dat het fruit de hoofdrol heeft. Deze merlot is een echte crowd pleaser.,Home > Wijn > Rode wijn > Soepele rode wijn,4.4,199,https://static.gall.nl/images/IMG_680290_500.png,"13,5%",Bevat sulfiet,Sulfur Dioxide and Sulfits,75CL,True,
https://www.gall.nl/ondarre-rioja-reserva-rood-75cl-309605.html,Ondarre Rioja Reserva,9.99,,,Spaanse klassieker: een jaar gerijpt op eikenhouten vaten en twee jaar in de bodega. Vol van smaak met tonen van vanille. Reserva betekent dat deze wijn minimaal 3 jaar heeft gerijpt. Voor meer complexiteit en rondeur.,Home > Wijn > Rode wijn > Stevige rode wijn,4.5,200,https://static.gall.nl/images/IMG_902154_500.png,"13,5%",Bevat sulfiet,Sulfur Dioxide and Sulfits,75CL,True,
https://www.gall.nl/la-palma-rose-rose-75cl-387916.html,La Palma Rosé,6.65,,25%,"De La Palma-wijnen worden gemaakt door Viña La Rosa. Zo ook deze rosé. Hij is milddroog met aardbei, framboos, granaatappel en rode appel. Heerlijk in combinatie met pittige Aziatische gerechten.",Home > Wijn > Rosé wijn,4.4,126,https://static.gall.nl/images/IMG_2278268_500.png,12%,Bevat sulfiet,Sulfur Dioxide and Sulfits,75CL,True,
https://www.gall.nl/merinas-verdejo-organic-wit-75cl-120111.html,Merinas Verdejo Organic,6.99,5.79,22%,"De verdejo-druiven worden ’s nachts geoogst om de frisheid te behouden. Die proef je terug in deze intense wijn met tropisch fruit, gras, venkel en witte peper.",Home > Wijn > Witte wijn > Fruitige witte wijn,4.2,65,https://static.gall.nl/images/IMG_2350484_500.png,12%,Bevat sulfiet,Sulfur Dioxide and Sulfits,75CL,True,
https://www.gall.nl/riporta-pinot-grigio-wit-75cl-402303.html,Riporta Pinot Grigio,7.99,,,"Pinot grigio afkomstig uit Sicilië. Warm, zwoel en zonnig met de nodige verkoelende invloeden van de Middellandse Zee. Je proeft grapefruit, gele appel, rijpe peer, perzik en specerijen.",Home > Wijn > Witte wijn > Frisse witte wijn,4.4,178,https://static.gall.nl/images/IMG_681673_500.png,"12,5%",Bevat sulfiet,Sulfur Dioxide and Sulfits,75CL,True,
https://www.gall.nl/merinas-tempranillo-rosado-rose-75cl-139602.html,Merinas Tempranillo Rosado,6.65,5.79,22%,‘Merinas’ slaat op het merino-schapenras. Ieder jaar lopen deze schapen dwars door de wijngaarden van Fontana in de DO Uclés. Deze Spaanse rosado is levendig en sappig.,Home > Wijn > Rosé wijn,4.3,16,https://static.gall.nl/images/IMG_2350489_500.png,12%,Bevat sulfiet,Sulfur Dioxide and Sulfits,75CL,True,
https://www.gall.nl/valdivieso-winemakers-reserva-chardonnay-wit-75cl-387681.html,Valdivieso Winemaker's Reserva Chardonnay,7.29,,,"Paradepaardje van Valdivieso is deze Winemaker Reserva, waarbij die winemaker dan Brett David Jackson is. Deze ‘Kiwi’ maakt wijnen waarbij het fruit de hoofdrol speelt.",Home > Wijn > Witte wijn > Volle witte wijn,4.4,200,https://static.gall.nl/images/IMG_680293_500.png,13%,Bevat sulfiet,Sulfur Dioxide and Sulfits,75CL,True,
https://www.gall.nl/errazuriz-estate-sauvignon-blanc-reserva-wit-75cl-409618.html,Errazuriz Estate Sauvignon Blanc Reserva,9.29,,,"De Estate-wijnen van Errazuriz zijn het visitekaartje van het bedrijf. De sauvignon blanc-druiven voor deze wijn zijn afkomstig van de Aconcagua Valley. Doordat deze Reserva op roestvrijstalen tanks wordt gemaakt, blijft het fruitige karakter van de wijn overeind. En dat proef je. Hij is aromatisch met limoen, passiefruit en verse groene kruiden. Heerlijk als aperitief, bij salades of vis.",Home > Wijn > Witte wijn > Frisse witte wijn,4.2,19,https://static.gall.nl/images/IMG_684390_500.png,13%,Bevat sulfiet,Sulfur Dioxide and Sulfits,75CL,True,
https://www.gall.nl/bruce-jack-sauvignon-blush-rose-75cl-411787.html,Bruce Jack Sauvignon Blush,7.99,,,Rosé van sauvignon blanc is eigenlijk onmogelijk. In het liberale Zuid-Afrika zijn de wijnregels echter vrij soepel. Wijnmaker Bruce Jack voegt 3% syrah toe aan deze wijn.,Home > Wijn > Rosé wijn,4.4,7,https://static.gall.nl/images/IMG_739167_500.png,"13,5%",Bevat sulfiet,Sulfur Dioxide and Sulfits,75CL,True,
https://www.gall.nl/oveja-negra-reserva-cabernet-sauvignon-syrah-rood-75cl-389323.html,Oveja Negra Reserva Cabernet Sauvignon Syrah,5.99,,,"Chili kent een ideaal wijnbouwklimaat om super fruitige, zachte rode wijnen te maken. Dit zwarte schaap heeft kracht door de cabernet sauvignon en een kruidige toon door de syrah.",Home > Wijn > Rode wijn > Soepele rode wijn,4.2,200,https://static.gall.nl/images/IMG_1760190_500.png,13%,Bevat sulfiet,Sulfur Dioxide and Sulfits,75CL,True,
https://www.gall.nl/montenay-cabernet-sauvignon-rood-75cl-196177.html,Montenay Cabernet Sauvignon,5.99,,,"Deze cabernet sauvignon komt uit de Languedoc en wordt gemaakt door de coöperatie Les Vignerons du Narbonnais. Je proeft zwarte bessen, cassis, bramen en laurier. Heerlijk bij kip of gevulde paprika.",Home > Wijn > Rode wijn > Stevige rode wijn,4.3,30,https://static.gall.nl/images/IMG_681117_500.png,"13,5%",Bevat sulfiet,Sulfur Dioxide and Sulfits,75CL,True,
https://www.gall.nl/alamos-viognier-wit-75cl-388661.html,Alamos Viognier,8.49,,24%,"Het moederbedrijf achter Alamos is Catena, een topproducent uit Argentinië. Deze viognier is vol, rijk en bloemig met nectarine, gele appel en vlierbloesem. Heerlijk bij spicy food.",Home > Wijn > Witte wijn > Volle witte wijn,4.3,55,https://static.gall.nl/images/IMG_308753_500.png,12%,Bevat sulfiet,Sulfur Dioxide and Sulfits,75CL,True,
https://www.gall.nl/baumgartner-gr%C3%BCner-veltliner-wit-75cl-219819.html,Baumgartner Grüner Veltliner,8.99,6.69,15%,Grüner veltliner is de nationale druif van Oostenrijk. Meer dan 30% van de wijngaarden in Oostenrijk staan aangeplant met de druif die in Engeland ook wel ‘groovy’ wordt genoemd.,Home > Wijn > Witte wijn > Frisse witte wijn,4.3,97,https://static.gall.nl/images/IMG_682008_500.png,"12,5%",Bevat sulfiet,Sulfur Dioxide and Sulfits,75CL,True,
https://www.gall.nl/max-mann-pinot-blanc-wit-75cl-219525.html,Max Mann Pinot Blanc,5.99,,,"Pinot blanc komt oorspronkelijk uit de Elzas, maar staat ook in Duitsland aangeplant. Vaak onder de naam weissburgunder. Max Mann noemt hem gewoon pinot blanc. Fruitig en soepel. Heerlijk bij quiche.",Home > Wijn > Witte wijn > Fruitige witte wijn,4.1,47,https://static.gall.nl/images/IMG_680411_500.png,12%,Bevat sulfiet,Sulfur Dioxide and Sulfits,75CL,True,
https://www.gall.nl/oto%C3%B1al-rioja-crianza-rood-75cl-309818.html,Otoñal Rioja Crianza,5.99,,,"Heerlijk volle houtgerijpte tempranillo uit het hart van Rioja. Harmonieus met duidelijk waarneembare vanilletonen. Je proeft zwart fruit, sigarenkistjes, leer en de Spaanse zon.",Home > Wijn > Rode wijn > Stevige rode wijn,4.2,117,https://static.gall.nl/images/IMG_1816020_500.png,"13,5%",Bevat sulfiet,Sulfur Dioxide and Sulfits,75CL,True,
https://www.gall.nl/arrogant-frog-cabernet-sauvignon-merlot-rood-75cl-196665.html,Arrogant Frog Cabernet Sauvignon Merlot,7.99,,,Arrogant Frog is een verwijzing van hoe buitenstaanders naar de Fransen kijken. De wijnen worden gemaakt in een nieuwe wereld-stijl door een van de beste wijnmakers van de Languedoc: Jean-Claude Mas.,Home > Wijn > Rode wijn > Soepele rode wijn,4.4,200,https://static.gall.nl/images/IMG_2122809_500.png,"13,5%",Bevat sulfiet,Sulfur Dioxide and Sulfits,75CL,True,
https://www.gall.nl/arrogant-frog-rose-bag-in-box-rose-300cl-138711.html,Arrogant Frog Rosé Bag in Box,21.79,,,De rosé in deze handige bag in box is dezelfde als de Ribet Pink. Gemaakt van 100% syrah. Een stoere rosé met body en barstensvol licht rood zomerfruit.,Home > Wijn > Rosé wijn,4.5,98,https://static.gall.nl/images/IMG_681050_500.png,"12,5%",Bevat sulfiet,Sulfur Dioxide and Sulfits,300CL,True,
https://www.gall.nl/montenay-merlot-rood-75cl-196185.html,Montenay Merlot,5.99,,,Les Vignerons du Narbonnais is een coöperatie uit de Languedoc waar 330 druivenboeren bij aangesloten zijn. Van hun druiven wordt onder andere deze volle merlot gemaakt met zwarte bessen en een bite.,Home > Wijn > Rode wijn > Stevige rode wijn,4.3,37,https://static.gall.nl/images/IMG_681118_500.png,"13,5%",Bevat sulfiet,Sulfur Dioxide and Sulfits,75CL,True,
https://www.gall.nl/arrogant-frog-rouge-bag-in-box-rood-300cl-139440.html,Arrogant Frog Rouge Bag in Box,21.79,,,De wijn in deze handige Bag in Box is dezelfde als de Arrogant Frog Ribet Red: cabernet sauvignon met merlot uit de Languedoc. Weelderig met zwarte bessen en pruimen.,Home > Wijn > Rode wijn,4.5,72,https://static.gall.nl/images/IMG_681047_500.png,"13,5%",Bevat sulfiet,Sulfur Dioxide and Sulfits,300CL,True,
https://www.gall.nl/riporta-nero-davola-appassite-rood-75cl-402281.html,Riporta Nero d'Avola Appassite,7.99,,,"Nero d’avola is een inheemse druif uit Sicilië. Voor deze soepele rode wijn rijpt hij 15 dagen aan de stok voordat hij wordt geoogst. Het levert een extra rijke, rijpe en zachte wijn op.",Home > Wijn > Rode wijn > Soepele rode wijn,4.5,200,https://static.gall.nl/images/IMG_681674_500.png,13%,Bevat sulfiet,Sulfur Dioxide and Sulfits,75CL,True,
https://www.gall.nl/merinas-tempranillo-organic-rood-75cl-120081.html,Merinas Tempranillo Organic,5.99,5.79,22%,"Deze biologische tempranillo rijpt op roestvrijstalen tanks en behoudt zo een fruitig karakter. Je proeft rode bessen, rozemarijn en zoethout. Heerlijk bij gerechten met chorizo.",Home > Wijn > Rode wijn > Soepele rode wijn,4.4,76,https://static.gall.nl/images/IMG_2350482_500.png,"13,5%",Bevat sulfiet,Sulfur Dioxide and Sulfits,75CL,True,
https://www.gall.nl/louis-bernard-c%C3%B4tes-du-rh%C3%B4ne-rood-75cl-180815.html,Louis Bernard Côtes du Rhône,6.49,,,"Rhôneproducent Louis Bernard maakt wijnen in vele verschillende appellaties. Alle wijn die niet onder een andere appellatie valt, komt op de markt als Côtes du Rhône. Sappig met bessen en kruidigheid.",Home > Wijn > Rode wijn > Fruitige rode wijn,4.4,47,https://static.gall.nl/images/IMG_2212179_500.png,"13,5%",Ingrediënten: Druiven.,Sulfur Dioxide and Sulfits,75CL,True,
https://www.gall.nl/beyerskloof-synergy-cape-blend-rood-75cl-384593.html,Beyerskloof Synergy Cape Blend,10.59,,,Beyerskloof is een pinotage-specialist. In deze blend zorgt de pinotage voor synergie in combinatie met traditionele Franse druiven zoals cabernet sauvignon en merlot. Intens vol en kruidig.,Home > Wijn > Rode wijn > Soepele rode wijn,4.4,15,https://static.gall.nl/images/IMG_682441_500.png,14%,Bevat sulfiet,Sulfur Dioxide and Sulfits,75CL,True,
https://www.gall.nl/bruce-jack-pinotage-malbec-rood-75cl-144576.html,Bruce Jack Pinotage Malbec,7.99,,,Pinotage met toevoeging van 8% malbec. In Zuid-Afrika schenken ze hem bij wild van de braai. Ook verrassend goed bij Thaise gerechten en zelfs sushi. Een heel diverse wijn goed voor veel momenten.,Home > Wijn > Rode wijn,4.2,45,https://static.gall.nl/images/IMG_308288_500.png,"14,5%",Bevat sulfiet,Sulfur Dioxide and Sulfits,75CL,True,
https://www.gall.nl/maritima-rose-75cl-412570.html,Maritima,9.29,,,"Rosé uit de Coteaux Varois en Provence. De druiven worden ’s nachts geoogst om zoveel mogelijk frisheid in de wijn te krijgen. En dat proef je. Ideaal aperitief, maar ook heerlijk bij vis van de barbecue.",Home > Wijn > Rosé wijn,4.5,20,https://static.gall.nl/images/IMG_826414_500.png,"12,5%",Bevat sulfiet,Sulfur Dioxide and Sulfits,75CL,True,
https://www.gall.nl/alamos-cabernet-sauvignon-rood-75cl-387789.html,Alamos Cabernet Sauvignon,8.49,,,"Veelzijdige cabernet sauvignon uit Mendoza. In de wijn proef je donker fruit zoals bramen en cassis, maar ook specerijen: laurier en zwarte peper. Rond, krachtig en de ideale begeleider van lamsvlees.",Home > Wijn > Rode wijn > Soepele rode wijn,4.6,48,https://static.gall.nl/images/IMG_308752_500.png,"13,5%",Bevat sulfiet,Sulfur Dioxide and Sulfits,75CL,True,
https://www.gall.nl/mucho-mas-tinto-bag-in-box-rood-300cl-139289.html,Mucho Más Tinto Bag in Box,22.99,,,"Opdracht voor de wijnmakers van Felix Solis was: maak een wijn die je zelf het liefste drinkt. Hiervoor haalden ze druiven uit Toro, La Mancha en Valdepeñas.",Home > Wijn > Rode wijn > Soepele rode wijn,4.7,199,https://static.gall.nl/images/IMG_682115_500.png,"13,5%",Bevat sulfiet,Sulfur Dioxide and Sulfits,300CL,True,
https://www.gall.nl/gall-gall-just-red-rood-75cl-308692.html,Gall & Gall Just Red,4.19,,,"Zeer voordelige en fruitige Spaanse rode wijn gemaakt van garnacha en tempranillo. Rond, soepel en toegankelijk. Ontdek de smaak van bessen en rijpe bramen. Schenk hem als borrelwijn of bij tapas.",Home > Wijn > Rode wijn > Soepele rode wijn,4.0,97,https://static.gall.nl/images/IMG_682136_500.png,13%,Bevat sulfiet,Sulfur Dioxide and Sulfits,75CL,True,
https://www.gall.nl/whales-tale-sauvignon-blanc-blush-rose-75cl-447161.html,Whale's Tale Sauvignon Blanc Blush,10.65,,,"Van sauvignon blanc kan je eigenlijk nooit een rosé maken. Het geheim van de wijnmaker is om een heel klein gedeelte rode wijn toe te voegen. Om precies te zijn gaat het om 1,5% tempranillo en 0,25% syrah. Net voldoende voor een mooie lichtroze kleur. In Europa is deze manier van rosé maken verboden, maar in Nieuw-Zeeland is de wetgeving op het gebied van wijnmaken een stuk soepeler.",Home > Wijn > Rosé wijn,4.4,7,https://static.gall.nl/images/IMG_1767215_500.png,"12,5%",Contains sulfites,Sulfur Dioxide and Sulfits,75CL,True,
